index,dates,I
1,"2009-04-27",1
2,"2009-04-28",1
3,"2009-04-29",0
4,"2009-04-30",2
5,"2009-05-01",5
6,"2009-05-02",3
7,"2009-05-03",3
8,"2009-05-04",3
9,"2009-05-05",6
10,"2009-05-06",2
11,"2009-05-07",5
12,"2009-05-08",9
13,"2009-05-09",13
14,"2009-05-10",12
15,"2009-05-11",13
16,"2009-05-12",11
17,"2009-05-13",12
18,"2009-05-14",6
19,"2009-05-15",6
20,"2009-05-16",6
21,"2009-05-17",3
22,"2009-05-18",1
23,"2009-05-19",0
24,"2009-05-20",2
25,"2009-05-21",0
26,"2009-05-22",0
27,"2009-05-23",0
28,"2009-05-24",0
29,"2009-05-25",2
30,"2009-05-26",0
31,"2009-05-27",2
32,"2009-05-28",0
